jet_time,SatX_GSM,SatY_GSM,SatZ_GSM
2015-09-07 13:11:59,4.01,9.029,-5.502
2015-09-07 13:57:26,3.68,9.503,-5.576
2015-09-07 13:58:29,3.68,9.514,-5.578
2015-09-07 19:41:14,0.6,10.608,-3.59
2015-09-09 12:39:08,4.46,8.798,-5.489
2015-09-09 12:47:14,4.41,8.914,-5.535
2015-09-09 14:22:22,3.74,9.7,-5.58
2015-09-09 14:30:40,3.68,9.761,-5.563
2015-09-09 14:32:05,3.66,9.777,-5.558
2015-09-09 14:52:07,3.5,9.939,-5.513
2015-09-09 14:55:38,3.48,9.954,-5.509
2015-09-09 15:50:32,3.02,10.333,-5.255
2015-09-09 16:22:56,2.74,10.488,-5.065
2015-09-09 18:49:45,1.33,10.721,-4.048
2015-09-09 18:55:16,1.27,10.713,-3.974
2015-09-09 19:02:32,1.2,10.71,-3.951
2015-09-09 19:50:12,0.72,10.51,-3.604
2015-09-11 12:57:43,4.59,8.963,-5.613
2015-09-11 13:01:34,4.57,8.981,-5.618
2015-09-11 13:05:04,4.54,8.998,-5.619
2015-09-11 16:19:02,3.01,10.384,-5.105
2015-09-11 16:22:06,2.98,10.397,-5.086
2015-09-11 16:25:33,2.95,10.397,-5.086
2015-09-11 16:32:14,2.89,10.422,-5.048
2015-09-11 16:37:21,2.84,10.443,-5.016
2015-09-11 16:40:56,2.81,10.455,-4.997
2015-09-13 15:25:06,3.72,10.011,-5.408
2015-09-13 17:29:09,2.58,10.491,-4.639
2015-09-14 15:49:44,3.64,10.099,-5.303
2015-09-14 15:50:56,3.63,10.111,-5.293
2015-09-19 09:12:53,6.43,6.539,-4.098
2015-09-19 09:14:00,6.42,6.595,-4.153
2015-09-19 09:17:45,6.42,6.617,-4.174
2015-09-19 09:20:54,6.42,6.617,-4.174
2015-09-19 10:09:39,6.33,7.155,-4.695
2015-09-19 10:45:08,6.22,7.519,-5.012
2015-09-19 10:46:42,6.22,7.559,-5.046
2015-09-19 10:48:57,6.21,7.559,-5.046
2015-09-22 15:39:11,4.64,9.598,-5.297
2015-09-23 16:45:59,4.11,9.784,-4.864
2015-09-23 17:11:56,3.84,9.831,-4.683
2015-09-25 09:37:59,7.1,6.685,-4.427
2015-09-25 09:39:25,7.1,6.705,-4.448
2015-09-25 12:05:40,6.58,8.022,-5.48
2015-09-25 12:06:56,6.57,8.022,-5.48
2015-09-25 12:11:08,6.55,8.06,-5.492
2015-09-27 09:50:49,7.32,6.782,-4.588
2015-09-27 12:01:05,6.83,7.869,-5.431
2015-09-27 12:02:44,6.83,7.869,-5.431
2015-09-28 10:24:59,7.35,7.035,-4.848
2015-10-01 06:51:20,7.54,4.718,-2.575
