DateStart,Error
2015-09-07 13:11:59+00:00,'NoneType' object has no attribute 'y'
2015-09-07 13:57:26+00:00,'NoneType' object has no attribute 'y'
2015-09-07 19:41:14+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-09 14:52:07+00:00,attempt to get argmin of an empty sequence
2015-09-09 14:55:38+00:00,attempt to get argmin of an empty sequence
2015-09-09 15:50:32+00:00,attempt to get argmin of an empty sequence
2015-09-09 19:50:12+00:00,local variable 'ind_range_msh' referenced before assignment
2015-09-13 15:25:06+00:00,local variable 'ind_range_msh' referenced before assignment
2015-09-13 17:29:09+00:00,attempt to get argmin of an empty sequence
2015-09-19 10:45:08+00:00,v cannot be empty
2015-09-19 10:46:42+00:00,v cannot be empty
2015-09-19 10:48:57+00:00,v cannot be empty
2015-09-22 15:39:11+00:00,local variable 'ind_range_msh' referenced before assignment
2015-09-23 17:11:56+00:00,local variable 'ind_range_msh' referenced before assignment
2015-09-25 12:05:40+00:00,v cannot be empty
2015-09-25 12:06:56+00:00,v cannot be empty
2015-09-25 12:11:08+00:00,v cannot be empty
2015-09-27 09:50:49+00:00,v cannot be empty
2015-09-27 12:01:05+00:00,local variable 'ind_range_msh' referenced before assignment
2015-09-27 12:02:44+00:00,local variable 'ind_range_msh' referenced before assignment
2015-09-28 10:24:59+00:00,local variable 'ind_range_msh' referenced before assignment
2015-10-01 17:43:11+00:00,attempt to get argmin of an empty sequence
2015-10-01 18:47:32+00:00,cannot convert float NaN to integer
2015-10-04 06:39:16+00:00,cannot convert float NaN to integer
2015-10-04 06:46:24+00:00,cannot convert float NaN to integer
2015-10-08 08:32:35+00:00,attempt to get argmin of an empty sequence
2015-10-23 06:22:38+00:00,local variable 'ind_range_msp' referenced before assignment
2015-10-24 08:07:48+00:00,x and y arrays must have at least 2 entries
2015-10-24 08:12:59+00:00,local variable 'ind_range_msp' referenced before assignment
2015-10-24 08:15:54+00:00,attempt to get argmin of an empty sequence
2015-10-24 08:17:20+00:00,attempt to get argmin of an empty sequence
2015-10-25 08:51:27+00:00,local variable 'ind_range_msp' referenced before assignment
2015-11-05 07:05:34+00:00,attempt to get argmin of an empty sequence
2015-11-05 09:35:34+00:00,local variable 'ind_range_msp' referenced before assignment
2015-11-07 13:53:33+00:00,local variable 'ind_range_msh' referenced before assignment
2015-11-10 02:09:21+00:00,attempt to get argmin of an empty sequence
2015-11-10 02:29:45+00:00,x and y arrays must have at least 2 entries
2015-11-10 02:35:18+00:00,attempt to get argmin of an empty sequence
2015-11-10 03:05:40+00:00,attempt to get argmin of an empty sequence
2015-11-10 03:09:03+00:00,attempt to get argmin of an empty sequence
2015-11-10 03:16:33+00:00,attempt to get argmin of an empty sequence
