DateStart,Error
2015-09-07 13:11:59+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-07 13:57:26+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-07 13:58:29+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-07 19:41:14+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-09 12:39:08+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-09 12:47:14+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-09 14:22:22+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-09 14:30:40+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-09 14:32:05+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-09 14:52:07+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-09 14:55:38+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-09 15:50:32+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-09 16:22:56+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-09 18:49:45+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-09 18:55:16+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-09 19:02:32+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-09 19:50:12+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-11 12:57:43+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-11 13:01:34+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-11 13:05:04+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-11 16:19:02+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-11 16:22:06+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-11 16:25:33+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-11 16:32:14+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-11 16:37:21+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-11 16:40:56+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-13 15:25:06+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-13 17:29:09+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-14 15:49:44+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-14 15:50:56+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-19 09:12:53+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-19 09:14:00+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-19 09:17:45+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-19 09:20:54+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-19 10:09:39+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-19 10:45:08+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-19 10:46:42+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-19 10:48:57+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-22 15:39:11+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-23 16:45:59+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-23 17:11:56+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-25 09:37:59+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-25 09:39:25+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-25 12:05:40+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-25 12:06:56+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-25 12:11:08+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-27 09:50:49+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-27 12:01:05+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-27 12:02:44+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-28 10:24:59+00:00,index 0 is out of bounds for axis 0 with size 0
2015-10-01 06:51:20+00:00,index 0 is out of bounds for axis 0 with size 0
2015-10-01 17:27:22+00:00,index 0 is out of bounds for axis 0 with size 0
2015-10-01 17:43:11+00:00,index 0 is out of bounds for axis 0 with size 0
2015-10-01 18:47:32+00:00,index 0 is out of bounds for axis 0 with size 0
2015-10-03 15:46:25+00:00,index 0 is out of bounds for axis 0 with size 0
2015-10-04 06:39:16+00:00,index 0 is out of bounds for axis 0 with size 0
2015-10-04 06:46:24+00:00,index 0 is out of bounds for axis 0 with size 0
2015-10-06 14:37:08+00:00,index 0 is out of bounds for axis 0 with size 0
2015-10-06 14:38:33+00:00,index 0 is out of bounds for axis 0 with size 0
2015-10-06 14:42:00+00:00,index 0 is out of bounds for axis 0 with size 0
2015-10-06 14:43:08+00:00,index 0 is out of bounds for axis 0 with size 0
2015-10-06 15:24:59+00:00,index 0 is out of bounds for axis 0 with size 0
2015-10-08 08:32:35+00:00,index 0 is out of bounds for axis 0 with size 0
2015-10-08 15:52:36+00:00,index 0 is out of bounds for axis 0 with size 0
2015-10-08 15:54:51+00:00,index 0 is out of bounds for axis 0 with size 0
2015-10-14 13:38:13+00:00,index 0 is out of bounds for axis 0 with size 0
2015-10-16 10:48:51+00:00,index 0 is out of bounds for axis 0 with size 0
2015-10-21 15:00:49+00:00,index 0 is out of bounds for axis 0 with size 0
2015-10-21 15:02:42+00:00,index 0 is out of bounds for axis 0 with size 0
2015-10-21 15:06:18+00:00,index 0 is out of bounds for axis 0 with size 0
2015-10-23 06:22:38+00:00,index 0 is out of bounds for axis 0 with size 0
2015-10-23 15:35:14+00:00,index 0 is out of bounds for axis 0 with size 0
2015-10-23 15:36:22+00:00,index 0 is out of bounds for axis 0 with size 0
2015-10-24 08:07:48+00:00,index 0 is out of bounds for axis 0 with size 0
2015-10-24 08:12:59+00:00,index 0 is out of bounds for axis 0 with size 0
2015-10-24 08:15:54+00:00,index 0 is out of bounds for axis 0 with size 0
2015-10-24 08:17:20+00:00,index 0 is out of bounds for axis 0 with size 0
2015-10-25 08:51:27+00:00,index 0 is out of bounds for axis 0 with size 0
2015-11-05 07:05:34+00:00,index 0 is out of bounds for axis 0 with size 0
2015-11-05 09:35:34+00:00,index 0 is out of bounds for axis 0 with size 0
2015-11-05 14:22:31+00:00,index 0 is out of bounds for axis 0 with size 0
2015-11-05 14:23:39+00:00,index 0 is out of bounds for axis 0 with size 0
2015-11-07 13:29:15+00:00,index 0 is out of bounds for axis 0 with size 0
2015-11-07 13:30:18+00:00,index 0 is out of bounds for axis 0 with size 0
2015-11-07 13:53:33+00:00,index 0 is out of bounds for axis 0 with size 0
2015-11-10 02:09:21+00:00,index 0 is out of bounds for axis 0 with size 0
2015-11-10 02:29:45+00:00,index 0 is out of bounds for axis 0 with size 0
2015-11-10 02:35:18+00:00,index 0 is out of bounds for axis 0 with size 0
2015-11-10 03:05:40+00:00,index 0 is out of bounds for axis 0 with size 0
2015-11-10 03:09:03+00:00,index 0 is out of bounds for axis 0 with size 0
2015-11-10 03:16:33+00:00,index 0 is out of bounds for axis 0 with size 0
2015-11-11 03:39:45+00:00,index 0 is out of bounds for axis 0 with size 0
2015-11-11 05:38:15+00:00,index 0 is out of bounds for axis 0 with size 0
2015-11-11 06:10:35+00:00,index 0 is out of bounds for axis 0 with size 0
2015-11-11 06:14:33+00:00,index 0 is out of bounds for axis 0 with size 0
2015-11-11 14:45:54+00:00,index 0 is out of bounds for axis 0 with size 0
2015-11-12 05:57:29+00:00,index 0 is out of bounds for axis 0 with size 0
2015-11-13 04:58:09+00:00,index 0 is out of bounds for axis 0 with size 0
2015-11-18 12:16:02+00:00,index 0 is out of bounds for axis 0 with size 0
2015-11-19 12:20:17+00:00,index 0 is out of bounds for axis 0 with size 0
2015-11-22 02:53:29+00:00,index 0 is out of bounds for axis 0 with size 0
2015-11-30 13:07:36+00:00,index 0 is out of bounds for axis 0 with size 0
2015-12-02 09:10:40+00:00,index 0 is out of bounds for axis 0 with size 0
2015-12-03 06:55:51+00:00,index 0 is out of bounds for axis 0 with size 0
2015-12-03 09:42:30+00:00,index 0 is out of bounds for axis 0 with size 0
2015-12-03 09:44:41+00:00,index 0 is out of bounds for axis 0 with size 0
