DateStart,Error
2015-09-02 15:25:04.180000+00:00,attempt to get argmin of an empty sequence
2015-09-02 16:11:44.116000+00:00,attempt to get argmin of an empty sequence
2015-09-02 16:07:04.213000+00:00,attempt to get argmin of an empty sequence
2015-09-02 15:29:44.083000+00:00,attempt to get argmin of an empty sequence
2015-09-01 21:09:14.178000+00:00,No variable by this name: mms3_fgm_flag_srvy_l2
2015-09-01 21:24:44.190000+00:00,read length must be non-negative or -1
2015-09-01 12:20:54.135000+00:00,local variable 'ind_range_msh' referenced before assignment
2015-09-02 17:50:44.194000+00:00,attempt to get argmin of an empty sequence
2015-09-02 18:10:04.009000+00:00,local variable 'ind_range_msh' referenced before assignment
2015-09-02 17:50:04.143000+00:00,attempt to get argmin of an empty sequence
2015-09-02 17:57:54.099000+00:00,attempt to get argmin of an empty sequence
2015-09-01 12:11:14.077000+00:00,local variable 'ind_range_msh' referenced before assignment
2015-09-01 21:51:34.162000+00:00,local variable 'ind_range_msh' referenced before assignment
2015-09-03 13:16:14.100000+00:00,local variable 'ind_range_msh' referenced before assignment
2015-09-01 12:30:44.092000+00:00,local variable 'ind_range_msh' referenced before assignment
2015-09-01 21:59:24.118000+00:00,local variable 'ind_range_msh' referenced before assignment
2015-09-03 13:47:54.175000+00:00,local variable 'ind_range_msh' referenced before assignment
2015-09-03 14:08:34.092000+00:00,attempt to get argmin of an empty sequence
2015-09-03 14:13:54.196000+00:00,attempt to get argmin of an empty sequence
2015-09-03 14:19:44.151000+00:00,attempt to get argmin of an empty sequence
2015-09-01 21:16:54.084000+00:00,local variable 'ind_range_msh' referenced before assignment
2015-09-03 15:40:54.116000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-03 17:49:54.220000+00:00,local variable 'ind_range_msh' referenced before assignment
2015-09-03 17:57:24.076000+00:00,local variable 'ind_range_msh' referenced before assignment
2015-09-03 17:38:44.161000+00:00,local variable 'ind_range_msh' referenced before assignment
2015-09-03 18:18:34.143000+00:00,local variable 'ind_range_msh' referenced before assignment
2015-09-03 18:07:24.084000+00:00,local variable 'ind_range_msh' referenced before assignment
2015-09-04 12:36:54.055000+00:00,x and y arrays must have at least 2 entries
2015-09-03 18:10:14.186000+00:00,local variable 'ind_range_msh' referenced before assignment
2015-09-03 23:11:03.927000+00:00,local variable 'ind_range_msh' referenced before assignment
2015-09-03 23:25:13.988000+00:00,local variable 'ind_range_msh' referenced before assignment
2015-09-05 14:10:54.224000+00:00,read length must be non-negative or -1
2015-09-04 13:25:44.193000+00:00,local variable 'ind_range_msh' referenced before assignment
2015-09-04 15:07:34.222000+00:00,local variable 'ind_range_msh' referenced before assignment
