Date,Probe,walen1,walen2,jet_detection,x_gsm,y_gsm,z_gsm,r_spc
2015-09-11 15:23:00+00:00,3,False,False,True,3.474,10.075,-5.420,11.441
2015-09-18 11:52:02+00:00,3,True,True,False,5.816,8.173,-5.452,9.825
2015-10-22 06:05:22+00:00,3,False,False,True,9.626,3.476,-1.957,3.988
2015-11-01 15:08:06+00:00,3,False,False,True,7.809,6.193,-3.467,7.097
2016-01-10 09:13:37+00:00,3,False,True,True,8.799,-2.397,-0.773,2.519
2016-11-02 14:46:18+00:00,3,False,True,True,7.234,8.800,-3.541,9.486
2016-11-12 17:48:47+00:00,3,False,False,True,6.620,9.155,-1.104,9.221
2016-11-23 07:50:30+00:00,3,False,False,True,9.607,3.238,-1.605,3.614
2016-11-28 15:47:00+00:00,3,False,True,False,8.877,7.175,-0.442,7.188
2017-01-22 10:15:46+00:00,3,False,False,True,10.733,-2.138,1.764,2.772
2015-09-01 21:24:44.190000+00:00,3,False,True,False,-1.066,10.334,-2.957,10.749
2015-09-02 16:11:44.116000+00:00,3,False,True,False,1.946,10.679,-4.989,11.787
