Date,Probe,walen1,walen2,jet_detection,x_gsm,y_gsm,z_gsm,r_spc,r_W,theta_w,jet_time,ind_min_msp,ind_max_msp,ind_min_msh,ind_max_msh,angle_b_lmn_vec_msp_msh,b_lmn_vec_msp_n,b_lmn_vec_msp_m,b_lmn_vec_msp_l,b_lmn_vec_msh_n,b_lmn_vec_msh_m,b_lmn_vec_msh_l,np_median_msp,np_median_msh
2015-09-04 11:42:54.163000+00:00,3,False,False,True,4.187,8.289,-5.061,9.712,2.069,91.656,2015-09-04 11:42:06.677673600+00:00,361,421,441,501,12.203,0.242,-6.550,23.697,4.314,-12.168,26.341,1.23,3.813
2015-09-04 12:09:34.083000+00:00,3,False,False,True,4.034,8.579,-5.224,10.045,4.138,82.888,2015-09-04 12:10:56.414752+00:00,462,491,511,571,32.955,14.350,-17.306,51.169,5.522,7.870,29.890,0.921,13.986
2015-09-04 13:25:44.193000+00:00,3,False,False,True,3.531,9.344,-5.479,10.832,1.955,100.619,2015-09-04 13:26:21.796606848+00:00,188,248,268,328,79.004,10.047,-13.048,18.019,-7.720,17.597,25.244,1.01,7.292
2015-09-06 12:21:54.081000+00:00,3,False,False,True,4.191,8.695,-5.359,10.214,0.866,95.082,2015-09-06 12:22:43.101754112+00:00,806,866,886,946,25.241,5.057,-11.466,27.972,14.038,0.037,33.248,1.39,5.205
2015-09-06 13:27:44.082000+00:00,3,False,False,True,3.757,9.328,-5.543,10.851,0.538,100.662,2015-09-06 13:26:20.778924032+00:00,293,353,213,273,15.962,6.575,-9.105,6.931,4.522,-14.684,10.765,1.1,1.664
2015-09-09 08:43:24.094000+00:00,3,False,False,True,5.292,6.002,-3.354,6.875,2.534,57.143,2015-09-09 08:43:54.401687040+00:00,924,982,1002,1062,24.258,36.966,-37.090,15.140,13.043,-22.828,19.312,2.22,11.570
2015-09-09 08:45:04.146000+00:00,3,False,False,True,5.292,6.025,-3.375,6.906,2.534,57.163,2015-09-09 08:43:54.401687040+00:00,257,315,335,395,24.259,36.954,-37.108,15.129,13.041,-22.829,19.311,2.22,11.570
2015-09-09 14:08:24.203000+00:00,3,False,False,True,3.824,9.607,-5.608,11.124,2.509,39.609,2015-09-09 14:08:52.731954048+00:00,861,921,781,841,33.014,14.180,-10.311,22.259,1.554,0.747,4.704,0.645,13.599
2015-09-09 14:09:44.154000+00:00,3,False,False,True,3.817,9.615,-5.607,11.131,2.509,39.609,2015-09-09 14:08:52.731954048+00:00,328,388,248,308,33.014,14.180,-10.311,22.259,1.554,0.747,4.704,0.645,13.599
2015-09-09 14:11:14.156000+00:00,3,False,False,True,3.805,9.628,-5.605,11.140,2.727,35.249,2015-09-09 14:11:51.308175616+00:00,1000,1060,1080,1140,6.336,14.868,-7.247,32.736,12.026,-4.019,20.314,0.696,10.918
