Date, Probe,walen,jet_detection,R_w,theta_w,x_gsm,y_gsm,z_gsm,r_spc
2015-09-02 13:45:34.102000+00:00,3,True,False,0.863,10.898,4.674,4.675,4.676,6.612
2015-09-02 16:11:44.116000+00:00,3,True,False,1.902,23.573,4.894,4.894,4.895,6.922
2015-09-03 13:47:54.175000+00:00,3,False,True,1.457,118.684,4.706,4.707,4.708,6.658
2015-09-03 14:08:34.092000+00:00,3,False,True,5.687,22.172,4.742,4.743,4.744,6.708
2015-09-03 14:13:54.196000+00:00,3,False,True,4.112,13.424,4.751,4.752,4.753,6.721
2015-09-03 14:50:44.176000+00:00,3,True,False,1.781,151.741,4.810,4.811,4.812,6.804
2015-09-03 15:18:54.099000+00:00,3,False,True,4.434,47.092,4.852,4.852,4.853,6.863
2015-09-03 15:27:44.206000+00:00,3,False,True,7.965,117.357,4.863,4.864,4.864,6.879
2015-09-04 11:42:54.163000+00:00,3,False,True,24.634,18.974,4.494,4.495,4.496,6.358
2015-09-04 13:07:04.128000+00:00,3,False,True,24.933,115.792,4.661,4.662,4.663,6.593
2015-09-04 13:15:24.085000+00:00,3,False,True,nan,nan,4.676,4.677,4.678,6.615
2015-09-04 13:25:44.193000+00:00,3,False,True,16.247,132.409,4.694,4.695,4.696,6.640
2015-09-04 14:36:54.148000+00:00,3,False,True,11.682,63.006,4.813,4.814,4.815,6.809
2015-09-05 15:54:54.159000+00:00,3,False,True,20.826,58.734,4.934,4.934,4.935,6.978
2015-09-06 12:15:44.176000+00:00,3,False,True,10.314,87.416,4.627,4.628,4.628,6.545
2015-09-06 12:21:54.081000+00:00,3,False,True,8.026,110.393,4.639,4.640,4.641,6.562
2015-09-06 12:37:14.193000+00:00,3,False,True,17.448,148.143,4.666,4.667,4.668,6.601
2015-09-06 13:00:24.111000+00:00,3,False,True,5.837,24.684,4.708,4.709,4.710,6.660
2015-09-06 13:18:54.125000+00:00,3,False,True,9.507,69.564,4.739,4.740,4.741,6.704
2015-09-06 13:27:44.082000+00:00,3,False,True,25.439,66.424,4.754,4.754,4.755,6.724
2015-09-07 13:26:34.114000+00:00,3,True,True,1.756,152.330,4.780,4.781,4.781,6.761
2015-09-07 13:44:34.129000+00:00,3,False,True,3.662,132.387,4.808,4.809,4.810,6.801
2015-09-07 13:59:34.141000+00:00,3,False,True,10.958,136.978,4.831,4.832,4.832,6.833
2015-09-07 14:18:54.107000+00:00,3,False,True,7.450,96.012,4.859,4.860,4.861,6.874
2015-09-07 17:07:34.144000+00:00,3,False,True,1.471,66.672,4.996,4.995,4.995,7.065
2015-09-07 17:28:14.211000+00:00,3,False,True,4.324,89.262,4.989,4.989,4.988,7.055
2015-09-07 17:56:14.084000+00:00,3,False,True,nan,nan,4.967,4.967,4.966,7.024
2015-09-08 11:00:04.168000+00:00,3,False,True,17.057,80.826,4.542,4.543,4.544,6.425
2015-09-08 11:02:04.170000+00:00,3,False,True,6.036,68.431,4.546,4.547,4.548,6.432
2015-09-08 11:04:04.171000+00:00,3,False,True,14.991,58.539,4.551,4.552,4.553,6.438
2015-09-08 11:05:54.123000+00:00,3,False,True,5.372,117.066,4.555,4.556,4.557,6.444
2015-09-08 11:13:54.129000+00:00,3,False,True,7.252,101.397,4.572,4.573,4.574,6.469
2015-09-08 11:23:34.187000+00:00,3,False,True,5.585,83.846,4.592,4.593,4.594,6.497
2015-09-08 11:25:34.188000+00:00,3,False,True,3.383,65.919,4.596,4.597,4.598,6.502
2015-09-08 18:15:04.211000+00:00,3,True,False,2.688,7.433,4.950,4.949,4.948,6.998
2015-09-09 08:28:14.183000+00:00,3,False,True,3.465,59.845,4.070,4.073,4.075,5.761
2015-09-09 08:40:24.092000+00:00,3,False,True,1.676,119.381,4.132,4.134,4.136,5.848
2015-09-09 08:41:54.093000+00:00,3,False,True,4.361,90.704,4.139,4.141,4.143,5.858
2015-09-09 08:43:24.094000+00:00,3,True,True,1.199,19.631,4.146,4.148,4.150,5.868
2015-09-09 08:45:04.146000+00:00,3,False,True,18.559,89.709,4.153,4.155,4.157,5.878
2015-09-09 08:50:24.100000+00:00,3,False,True,1.226,54.698,4.178,4.180,4.182,5.913
2015-09-09 08:55:24.104000+00:00,3,True,True,1.674,153.945,4.199,4.202,4.204,5.943
2015-09-09 12:58:14.096000+00:00,3,False,True,16.414,77.945,4.792,4.793,4.794,6.779
2015-09-09 13:17:44.112000+00:00,3,True,False,1.313,174.332,4.822,4.823,4.823,6.821
2015-09-09 13:42:44.132000+00:00,3,False,True,7.817,146.960,4.859,4.859,4.860,6.873
2015-09-09 13:51:34.089000+00:00,3,False,True,10.218,31.506,4.871,4.872,4.873,6.890
2015-09-09 13:52:54.191000+00:00,3,False,True,23.116,35.015,4.873,4.874,4.875,6.893
2015-09-09 13:53:54.191000+00:00,3,False,True,26.205,75.971,4.875,4.875,4.876,6.895
2015-09-09 14:00:14.147000+00:00,3,True,True,2.414,165.327,4.883,4.884,4.884,6.907
2015-09-09 14:05:54.201000+00:00,3,False,True,4.317,132.058,4.891,4.892,4.892,6.919
2015-09-09 14:08:24.203000+00:00,3,False,True,15.210,50.722,4.894,4.895,4.896,6.923
2015-09-09 14:09:44.154000+00:00,3,False,True,11.635,116.317,4.896,4.896,4.897,6.925
2015-09-09 14:11:14.156000+00:00,3,False,True,13.946,118.169,4.898,4.898,4.899,6.928
2015-09-09 14:25:34.117000+00:00,3,False,True,3.447,10.796,4.917,4.917,4.918,6.954
2015-09-09 14:27:34.119000+00:00,3,True,True,1.943,171.018,4.919,4.920,4.920,6.958
2015-09-09 14:30:04.121000+00:00,3,True,True,2.696,6.435,4.922,4.923,4.923,6.962
2015-09-09 14:37:14.177000+00:00,3,False,True,7.459,55.849,4.931,4.931,4.932,6.975
2015-09-09 14:46:54.085000+00:00,3,False,True,7.051,84.821,4.943,4.943,4.944,6.991
2015-09-09 14:50:04.137000+00:00,3,False,True,10.326,24.204,4.946,4.947,4.947,6.996
2015-09-09 14:57:24.093000+00:00,3,False,True,12.711,145.745,4.955,4.955,4.956,7.008
2015-09-09 14:59:34.145000+00:00,3,False,True,4.109,104.854,4.957,4.957,4.958,7.011
2015-09-09 15:01:04.146000+00:00,3,False,True,nan,nan,4.958,4.959,4.959,7.013
2015-09-09 15:23:34.165000+00:00,3,False,True,2.591,132.888,4.981,4.981,4.982,7.045
2015-09-09 15:35:14.224000+00:00,3,True,True,2.994,162.250,4.991,4.991,4.992,7.059
2015-09-09 20:26:04.112000+00:00,3,False,True,38.019,60.541,4.529,4.526,4.524,6.400
2015-09-10 12:42:34.123000+00:00,3,True,False,1.450,18.468,4.798,4.799,4.800,6.787
2015-09-10 19:06:14.179000+00:00,3,True,False,1.178,11.794,4.841,4.839,4.838,6.843
2015-09-11 07:48:54.182000+00:00,3,False,True,5.704,125.919,3.961,3.965,3.968,5.609
2015-09-11 07:53:14.136000+00:00,3,False,True,nan,nan,3.986,3.989,3.992,5.644
2015-09-11 07:57:44.139000+00:00,3,False,True,6.601,61.340,4.013,4.016,4.019,5.682
2015-09-11 08:06:44.146000+00:00,3,False,True,7.323,43.587,4.065,4.067,4.070,5.754
2015-09-11 08:11:04.099000+00:00,3,False,True,4.085,39.871,4.089,4.092,4.095,5.789
2015-09-11 08:15:34.103000+00:00,3,True,True,1.542,150.969,4.113,4.116,4.119,5.823
2015-09-11 08:21:04.107000+00:00,3,False,True,7.560,107.439,4.142,4.144,4.147,5.862
2015-09-11 09:29:54.110000+00:00,3,False,True,1.226,62.145,4.423,4.425,4.426,6.258
2015-09-11 09:41:54.119000+00:00,3,False,True,1.210,60.123,4.461,4.462,4.464,6.311
2015-09-11 09:45:24.122000+00:00,3,False,True,2.724,143.775,4.471,4.473,4.474,6.326
2015-09-11 10:12:14.093000+00:00,3,False,True,3.822,88.919,4.544,4.545,4.547,6.429
2015-09-11 10:44:54.169000+00:00,3,False,True,5.580,131.343,4.622,4.623,4.624,6.539
2015-09-11 11:42:44.166000+00:00,3,False,True,4.726,125.792,4.733,4.734,4.735,6.695
2015-09-11 11:50:44.172000+00:00,3,False,True,20.469,153.700,4.747,4.747,4.748,6.714
2015-09-11 11:51:34.123000+00:00,3,False,True,3.025,53.081,4.748,4.749,4.750,6.717
2015-09-11 14:05:14.132000+00:00,3,False,True,nan,nan,4.940,4.941,4.942,6.988
2015-09-11 14:19:04.093000+00:00,3,False,True,nan,nan,4.957,4.958,4.958,7.012
2015-09-11 15:22:44.195000+00:00,3,False,True,4.951,78.300,5.020,5.020,5.020,7.100
2015-09-11 15:34:44.204000+00:00,3,False,True,2.908,144.024,5.028,5.029,5.029,7.112
2015-09-11 15:47:14.215000+00:00,3,False,True,nan,nan,5.036,5.036,5.036,7.122
2015-09-11 15:56:14.222000+00:00,3,False,True,2.041,95.723,5.040,5.041,5.041,7.129
2015-09-11 16:03:14.078000+00:00,3,False,True,1.985,116.034,5.043,5.044,5.044,7.133
2015-09-11 16:19:34.191000+00:00,3,False,True,5.088,32.299,5.048,5.048,5.048,7.139
2015-09-11 16:24:04.195000+00:00,3,False,True,5.534,75.071,5.049,5.049,5.049,7.140
2015-09-11 16:28:34.198000+00:00,3,False,True,22.160,32.863,5.049,5.049,5.049,7.141
2015-09-11 16:36:34.205000+00:00,3,False,True,4.839,71.475,5.049,5.049,5.049,7.141
2015-09-11 16:39:24.157000+00:00,3,False,True,4.611,106.060,5.049,5.049,5.049,7.141
2015-09-11 16:40:54.158000+00:00,3,False,True,6.747,107.529,5.049,5.049,5.049,7.140
2015-09-11 16:44:04.211000+00:00,3,False,True,6.581,129.088,5.049,5.049,5.049,7.140
2015-09-11 16:50:14.116000+00:00,3,False,True,4.109,26.748,5.048,5.047,5.047,7.138
2015-09-13 10:40:04.188000+00:00,3,False,True,36.307,110.747,4.688,4.689,4.690,6.632
2015-09-13 10:55:34.201000+00:00,3,False,True,25.222,96.450,4.719,4.720,4.721,6.675
2015-09-13 11:02:04.206000+00:00,3,False,True,14.050,37.038,4.731,4.732,4.733,6.693
2015-09-13 11:08:44.111000+00:00,3,False,True,61.702,84.549,4.743,4.744,4.745,6.710
2015-09-13 11:14:04.216000+00:00,3,False,True,11.117,47.317,4.753,4.754,4.755,6.724
2015-09-13 11:20:24.171000+00:00,3,False,True,4.265,107.763,4.764,4.765,4.766,6.740
2015-09-13 11:24:54.174000+00:00,3,False,True,8.065,120.202,4.772,4.773,4.774,6.751
2015-09-13 15:03:34.103000+00:00,3,False,True,nan,nan,5.046,5.046,5.046,7.136
2015-09-13 15:16:24.213000+00:00,3,False,True,35.176,58.174,5.055,5.055,5.056,7.149
2015-09-13 15:24:34.120000+00:00,3,False,True,nan,nan,5.060,5.060,5.060,7.156
2015-09-13 15:27:44.173000+00:00,3,False,True,26.874,26.253,5.062,5.062,5.062,7.159
2015-09-14 09:46:44.088000+00:00,3,False,True,19.834,22.224,4.602,4.603,4.605,6.511
2015-09-14 09:48:34.190000+00:00,3,False,True,5.311,120.355,4.607,4.609,4.610,6.519
2015-09-14 09:58:24.147000+00:00,3,True,False,2.124,3.935,4.633,4.634,4.636,6.555
2015-09-14 10:00:54.149000+00:00,3,False,True,10.618,98.823,4.639,4.640,4.642,6.563
2015-09-14 10:18:34.213000+00:00,3,False,True,3.229,158.196,4.680,4.681,4.682,6.621
2015-09-14 10:20:54.165000+00:00,3,False,True,2.388,33.596,4.686,4.687,4.688,6.629
2015-09-14 10:27:04.220000+00:00,3,True,False,1.100,159.290,4.699,4.700,4.701,6.647
2015-09-14 12:11:44.202000+00:00,3,False,True,16.982,103.387,4.878,4.878,4.879,6.899
2015-09-14 12:15:34.155000+00:00,3,False,True,5.906,34.353,4.883,4.884,4.885,6.907
2015-09-14 12:19:24.108000+00:00,3,False,True,7.308,56.413,4.889,4.889,4.890,6.915
2015-09-14 13:58:04.085000+00:00,3,False,True,nan,nan,5.008,5.009,5.009,7.084
2015-09-14 14:16:34.100000+00:00,3,False,True,11.970,122.967,5.027,5.027,5.028,7.110
2015-09-14 14:23:04.105000+00:00,3,False,True,nan,nan,5.033,5.034,5.034,7.119
2015-09-14 14:30:04.111000+00:00,3,False,True,6.701,8.314,5.040,5.040,5.040,7.128
2015-09-14 14:38:44.168000+00:00,3,True,False,2.705,155.332,5.047,5.047,5.048,7.138
2015-09-14 15:24:14.204000+00:00,3,True,True,1.423,168.836,5.079,5.079,5.079,7.183
2015-09-14 15:27:34.156000+00:00,3,False,True,4.453,164.277,5.081,5.081,5.081,7.185
2015-09-14 15:37:34.164000+00:00,3,False,True,2.028,37.053,5.085,5.085,5.085,7.192
2015-09-14 15:43:34.169000+00:00,3,True,True,2.621,155.324,5.087,5.087,5.088,7.195
2015-09-14 15:51:04.175000+00:00,3,False,True,6.715,32.140,5.090,5.090,5.090,7.198
2015-09-14 15:54:24.128000+00:00,3,False,True,nan,nan,5.090,5.091,5.091,7.199
2015-09-14 16:02:34.184000+00:00,3,False,True,5.265,23.111,5.092,5.092,5.092,7.201
2015-09-14 16:09:54.140000+00:00,3,False,True,nan,nan,5.093,5.093,5.093,7.202
2015-09-14 16:13:14.093000+00:00,3,False,True,4.235,19.167,5.093,5.093,5.093,7.202
2015-09-14 16:14:54.144000+00:00,3,False,True,4.163,51.975,5.093,5.093,5.093,7.202
2015-09-14 16:18:24.147000+00:00,3,False,True,14.424,65.329,5.093,5.092,5.092,7.202
2015-09-15 11:17:44.107000+00:00,3,False,True,2.810,34.232,4.829,4.830,4.831,6.832
2015-09-15 11:21:44.110000+00:00,3,False,True,15.514,86.608,4.836,4.837,4.837,6.841
2015-09-15 11:40:24.175000+00:00,3,False,True,8.154,67.232,4.865,4.866,4.867,6.882
2015-09-15 11:42:24.177000+00:00,3,True,True,2.712,28.020,4.868,4.869,4.870,6.886
