mms_spc_num,date_from,date_to,spc_pos_x,spc_pos_y,spc_pos_z,b_msh_x,b_msh_y,b_msh_z,r_rc,method_used
3,2015-10-16 10:28:30,2015-10-16 10:38:30,9.22,6.08,-4.39,3.35,21.31,27.69,1.0,shear
3,2015-10-16 10:28:30,2015-10-16 10:38:30,9.22,6.08,-4.39,3.35,21.31,27.69,4.98,rx_en
3,2015-10-16 10:28:30,2015-10-16 10:38:30,9.22,6.08,-4.39,3.35,21.31,27.69,3.98,va_cs
3,2015-10-16 10:28:30,2015-10-16 10:38:30,9.22,6.08,-4.39,3.35,21.31,27.69,6.97,bisection
3,2015-10-16 10:28:30,2015-10-16 10:38:30,9.22,6.08,-4.39,3.35,21.31,27.69,1.0,shear
3,2015-10-16 10:28:30,2015-10-16 10:38:30,9.22,6.08,-4.39,3.35,21.31,27.69,4.98,rx_en
3,2015-10-16 10:28:30,2015-10-16 10:38:30,9.22,6.08,-4.39,3.35,21.31,27.69,3.98,va_cs
3,2015-10-16 10:28:30,2015-10-16 10:38:30,9.22,6.08,-4.39,3.35,21.31,27.69,6.97,bisection
3,2015-10-16 13:02:02,2015-10-16 13:12:02,8.3,7.07,-4.79,-5.12,-2.38,-17.1,2.88,shear
3,2015-10-16 13:02:02,2015-10-16 13:12:02,8.3,7.07,-4.79,-5.12,-2.38,-17.1,1.92,rx_en
3,2015-10-16 13:02:02,2015-10-16 13:12:02,8.3,7.07,-4.79,-5.12,-2.38,-17.1,3.83,va_cs
3,2015-10-16 13:02:02,2015-10-16 13:12:02,8.3,7.07,-4.79,-5.12,-2.38,-17.1,3.83,bisection
3,2015-10-16 13:02:02,2015-10-16 13:12:02,8.3,7.07,-4.79,-5.12,-2.38,-17.1,2.88,shear
3,2015-10-16 13:02:02,2015-10-16 13:12:02,8.3,7.07,-4.79,-5.12,-2.38,-17.1,1.92,rx_en
3,2015-10-16 13:02:02,2015-10-16 13:12:02,8.3,7.07,-4.79,-5.12,-2.38,-17.1,3.83,va_cs
3,2015-10-16 13:02:02,2015-10-16 13:12:02,8.3,7.07,-4.79,-5.12,-2.38,-17.1,3.83,bisection
3,2015-10-22 06:00:22,2015-10-22 06:10:22,9.63,3.48,-1.96,-1.58,-10.33,-13.76,9.96,shear
3,2015-10-22 06:00:22,2015-10-22 06:10:22,9.63,3.48,-1.96,-1.58,-10.33,-13.76,8.96,rx_en
3,2015-10-22 06:00:22,2015-10-22 06:10:22,9.63,3.48,-1.96,-1.58,-10.33,-13.76,3.98,va_cs
3,2015-10-22 06:00:22,2015-10-22 06:10:22,9.63,3.48,-1.96,-1.58,-10.33,-13.76,1.99,bisection
3,2015-10-22 06:00:22,2015-10-22 06:10:22,9.63,3.48,-1.96,-1.58,-10.33,-13.76,9.96,shear
3,2015-10-22 06:00:22,2015-10-22 06:10:22,9.63,3.48,-1.96,-1.58,-10.33,-13.76,8.96,rx_en
3,2015-10-22 06:00:22,2015-10-22 06:10:22,9.63,3.48,-1.96,-1.58,-10.33,-13.76,3.98,va_cs
3,2015-10-22 06:00:22,2015-10-22 06:10:22,9.63,3.48,-1.96,-1.58,-10.33,-13.76,1.99,bisection
3,2015-11-01 15:03:06,2015-11-01 15:13:06,7.81,6.19,-3.47,5.45,20.01,23.8,10.83,shear
3,2015-11-01 15:03:06,2015-11-01 15:13:06,7.81,6.19,-3.47,5.45,20.01,23.8,4.92,rx_en
3,2015-11-01 15:03:06,2015-11-01 15:13:06,7.81,6.19,-3.47,5.45,20.01,23.8,8.86,va_cs
3,2015-11-01 15:03:06,2015-11-01 15:13:06,7.81,6.19,-3.47,5.45,20.01,23.8,8.86,bisection
3,2015-11-01 15:03:06,2015-11-01 15:13:06,7.81,6.19,-3.47,5.45,20.01,23.8,10.83,shear
3,2015-11-01 15:03:06,2015-11-01 15:13:06,7.81,6.19,-3.47,5.45,20.01,23.8,4.92,rx_en
3,2015-11-01 15:03:06,2015-11-01 15:13:06,7.81,6.19,-3.47,5.45,20.01,23.8,8.86,va_cs
3,2015-11-01 15:03:06,2015-11-01 15:13:06,7.81,6.19,-3.47,5.45,20.01,23.8,8.86,bisection
3,2015-11-12 07:14:21,2015-11-12 07:24:21,11.49,2.3,-1.77,3.66,-0.13,10.42,6.6,shear
3,2015-11-12 07:14:21,2015-11-12 07:24:21,11.49,2.3,-1.77,3.66,-0.13,10.42,0.0,rx_en
3,2015-11-12 07:14:21,2015-11-12 07:24:21,11.49,2.3,-1.77,3.66,-0.13,10.42,3.77,va_cs
3,2015-11-12 07:14:21,2015-11-12 07:24:21,11.49,2.3,-1.77,3.66,-0.13,10.42,4.72,bisection
3,2015-11-12 07:14:21,2015-11-12 07:24:21,11.49,2.3,-1.77,3.66,-0.13,10.42,6.6,shear
3,2015-11-12 07:14:21,2015-11-12 07:24:21,11.49,2.3,-1.77,3.66,-0.13,10.42,0.0,rx_en
3,2015-11-12 07:14:21,2015-11-12 07:24:21,11.49,2.3,-1.77,3.66,-0.13,10.42,3.77,va_cs
3,2015-11-12 07:14:21,2015-11-12 07:24:21,11.49,2.3,-1.77,3.66,-0.13,10.42,4.72,bisection
3,2015-12-06 23:33:31,2015-12-06 23:43:31,8.5,-3.91,-0.81,5.34,-1.46,11.24,13.57,shear
3,2015-12-06 23:33:31,2015-12-06 23:43:31,8.5,-3.91,-0.81,5.34,-1.46,11.24,9.95,rx_en
3,2015-12-06 23:33:31,2015-12-06 23:43:31,8.5,-3.91,-0.81,5.34,-1.46,11.24,10.86,va_cs
3,2015-12-06 23:33:31,2015-12-06 23:43:31,8.5,-3.91,-0.81,5.34,-1.46,11.24,7.24,bisection
3,2015-12-06 23:33:31,2015-12-06 23:43:31,8.5,-3.91,-0.81,5.34,-1.46,11.24,13.57,shear
3,2015-12-06 23:33:31,2015-12-06 23:43:31,8.5,-3.91,-0.81,5.34,-1.46,11.24,9.95,rx_en
