mms_spc_num,date_from,date_to,spc_pos_x,spc_pos_y,spc_pos_z,b_msh_x,b_msh_y,b_msh_z,r_rc,method_used,walen,jet_detection
3,2015-09-11 15:18:00,2015-09-11 15:28:00,3.48,10.07,-5.42,2.3499999046325684,15.010000228881836,10.649999618530273,15.948,shear,False,True
3,2015-09-11 15:18:00,2015-09-11 15:28:00,3.48,10.07,-5.42,2.3499999046325684,15.010000228881836,10.649999618530273,12.527,rx_en,False,True
3,2015-09-11 15:18:00,2015-09-11 15:28:00,3.48,10.07,-5.42,2.3499999046325684,15.010000228881836,10.649999618530273,15.771,va_cs,False,True
3,2015-09-11 15:18:00,2015-09-11 15:28:00,3.48,10.07,-5.42,2.3499999046325684,15.010000228881836,10.649999618530273,4.718,bisection,False,True
3,2015-09-18 11:47:02,2015-09-18 11:57:02,5.82,8.17,-5.45,-13.239999771118164,16.100000381469727,-2.799999952316284,11.820,shear,True,False
3,2015-09-18 11:47:02,2015-09-18 11:57:02,5.82,8.17,-5.45,-13.239999771118164,16.100000381469727,-2.799999952316284,9.221,rx_en,True,False
3,2015-09-18 11:47:02,2015-09-18 11:57:02,5.82,8.17,-5.45,-13.239999771118164,16.100000381469727,-2.799999952316284,nan,va_cs,True,False
3,2015-09-18 11:47:02,2015-09-18 11:57:02,5.82,8.17,-5.45,-13.239999771118164,16.100000381469727,-2.799999952316284,5.278,bisection,True,False
3,2015-09-25 12:04:00,2015-09-25 12:14:00,6.56,8.03,-5.49,-1.5499999523162842,11.050000190734863,3.680000066757202,8.175,shear,True,False
3,2015-09-25 12:04:00,2015-09-25 12:14:00,6.56,8.03,-5.49,-1.5499999523162842,11.050000190734863,3.680000066757202,8.683,rx_en,True,False
3,2015-09-25 12:04:00,2015-09-25 12:14:00,6.56,8.03,-5.49,-1.5499999523162842,11.050000190734863,3.680000066757202,8.883,va_cs,True,False
3,2015-09-25 12:04:00,2015-09-25 12:14:00,6.56,8.03,-5.49,-1.5499999523162842,11.050000190734863,3.680000066757202,8.559,bisection,True,False
3,2015-10-16 13:02:02,2015-10-16 13:12:02,8.3,7.07,-4.79,-5.119999885559082,-2.380000114440918,-17.100000381469727,1.152,shear,False,True
3,2015-10-16 13:02:02,2015-10-16 13:12:02,8.3,7.07,-4.79,-5.119999885559082,-2.380000114440918,-17.100000381469727,4.205,rx_en,False,True
3,2015-10-16 13:02:02,2015-10-16 13:12:02,8.3,7.07,-4.79,-5.119999885559082,-2.380000114440918,-17.100000381469727,2.316,va_cs,False,True
3,2015-10-16 13:02:02,2015-10-16 13:12:02,8.3,7.07,-4.79,-5.119999885559082,-2.380000114440918,-17.100000381469727,5.254,bisection,False,True
3,2015-10-22 06:00:22,2015-10-22 06:10:22,9.63,3.48,-1.96,-1.5800000429153442,-10.329999923706055,-13.760000228881836,2.641,shear,False,True
3,2015-10-22 06:00:22,2015-10-22 06:10:22,9.63,3.48,-1.96,-1.5800000429153442,-10.329999923706055,-13.760000228881836,4.720,rx_en,False,True
3,2015-10-22 06:00:22,2015-10-22 06:10:22,9.63,3.48,-1.96,-1.5800000429153442,-10.329999923706055,-13.760000228881836,1.893,va_cs,False,True
3,2015-10-22 06:00:22,2015-10-22 06:10:22,9.63,3.48,-1.96,-1.5800000429153442,-10.329999923706055,-13.760000228881836,4.953,bisection,False,True
3,2015-11-01 15:03:06,2015-11-01 15:13:06,7.81,6.19,-3.47,5.449999809265137,20.010000228881836,23.799999237060547,6.515,shear,True,True
3,2015-11-01 15:03:06,2015-11-01 15:13:06,7.81,6.19,-3.47,5.449999809265137,20.010000228881836,23.799999237060547,2.969,rx_en,True,True
3,2015-11-01 15:03:06,2015-11-01 15:13:06,7.81,6.19,-3.47,5.449999809265137,20.010000228881836,23.799999237060547,4.174,va_cs,True,True
3,2015-11-01 15:03:06,2015-11-01 15:13:06,7.81,6.19,-3.47,5.449999809265137,20.010000228881836,23.799999237060547,4.174,bisection,True,True
3,2015-11-12 07:14:21,2015-11-12 07:24:21,11.49,2.3,-1.77,3.6600000858306885,-0.12999999523162842,10.420000076293945,1.563,shear,False,True
3,2015-11-12 07:14:21,2015-11-12 07:24:21,11.49,2.3,-1.77,3.6600000858306885,-0.12999999523162842,10.420000076293945,3.952,rx_en,False,True
3,2015-11-12 07:14:21,2015-11-12 07:24:21,11.49,2.3,-1.77,3.6600000858306885,-0.12999999523162842,10.420000076293945,6.403,va_cs,False,True
3,2015-11-12 07:14:21,2015-11-12 07:24:21,11.49,2.3,-1.77,3.6600000858306885,-0.12999999523162842,10.420000076293945,6.273,bisection,False,True
3,2015-12-09 01:01:11,2015-12-09 01:11:11,9.91,-3.67,-0.93,2.2799999713897705,2.4200000762939453,-7.789999961853027,10.666,shear,False,True
3,2015-12-09 01:01:11,2015-12-09 01:11:11,9.91,-3.67,-0.93,2.2799999713897705,2.4200000762939453,-7.789999961853027,1.393,rx_en,False,True
