mms_spc_num,date_from,date_to,spc_pos_x,spc_pos_y,spc_pos_z,b_msh_x,b_msh_y,b_msh_z,r_rc,method_used,b_imf_x,b_imf_y,b_imf_z,dipole,imf_clock_angle,p_dyn
3,2015-09-02 16:42:33,2015-09-02 16:52:33,1.63,10.86,-4.76,-26.5,9.3100004196167,-14.609999656677246,11.76,shear,-1.75,3.450000047683716,0.6200000047683716,17.504,79.86,5.05,
3,2015-09-02 16:42:33,2015-09-02 16:52:33,1.63,10.86,-4.76,-26.5,9.3100004196167,-14.609999656677246,11.022,rx_en,-1.75,3.450000047683716,0.6200000047683716,17.504,79.86,5.05,
3,2015-09-02 16:42:33,2015-09-02 16:52:33,1.63,10.86,-4.76,-26.5,9.3100004196167,-14.609999656677246,12.66,va_cs,-1.75,3.450000047683716,0.6200000047683716,17.504,79.86,5.05,
3,2015-09-02 16:42:33,2015-09-02 16:52:33,1.63,10.86,-4.76,-26.5,9.3100004196167,-14.609999656677246,11.948,bisection,-1.75,3.450000047683716,0.6200000047683716,17.504,79.86,5.05,
3,2015-09-02 17:00:05,2015-09-02 17:10:05,1.47,10.93,-4.64,10.079999923706055,8.989999771118164,33.66999816894531,7.64,shear,-3.490000009536743,2.0799999237060547,-1.840000033378601,17.478,131.448,5.16,
3,2015-09-02 17:00:05,2015-09-02 17:10:05,1.47,10.93,-4.64,10.079999923706055,8.989999771118164,33.66999816894531,6.078,rx_en,-3.490000009536743,2.0799999237060547,-1.840000033378601,17.478,131.448,5.16,
3,2015-09-02 17:00:05,2015-09-02 17:10:05,1.47,10.93,-4.64,10.079999923706055,8.989999771118164,33.66999816894531,11.584,va_cs,-3.490000009536743,2.0799999237060547,-1.840000033378601,17.478,131.448,5.16,
3,2015-09-02 17:00:05,2015-09-02 17:10:05,1.47,10.93,-4.64,10.079999923706055,8.989999771118164,33.66999816894531,6.569,bisection,-3.490000009536743,2.0799999237060547,-1.840000033378601,17.478,131.448,5.16,
3,2015-09-03 17:09:52,2015-09-03 17:19:52,1.5,10.93,-4.61,13.020000457763672,17.899999618530273,38.0099983215332,9.019,shear,3.140000104904175,4.96999979019165,4.510000228881836,17.074,47.771,3.9,
3,2015-09-03 17:09:52,2015-09-03 17:19:52,1.5,10.93,-4.61,13.020000457763672,17.899999618530273,38.0099983215332,5.32,rx_en,3.140000104904175,4.96999979019165,4.510000228881836,17.074,47.771,3.9,
3,2015-09-03 17:09:52,2015-09-03 17:19:52,1.5,10.93,-4.61,13.020000457763672,17.899999618530273,38.0099983215332,9.039,va_cs,3.140000104904175,4.96999979019165,4.510000228881836,17.074,47.771,3.9,
