mms_spc_num,date_from,date_to,spc_pos_x,spc_pos_y,spc_pos_z,b_msh_x,b_msh_y,b_msh_z,r_rc,method_used
3,2016-12-24 15:08:00,2016-12-24 15:12:00,9.35,3.77,1.45,3.47,-18.62,-16.79,0.47,shear
3,2016-12-24 15:08:00,2016-12-24 15:12:00,9.35,3.77,1.45,3.47,-18.62,-16.79,4.56,rx_en
3,2016-12-24 15:08:00,2016-12-24 15:12:00,9.35,3.77,1.45,3.47,-18.62,-16.79,2.65,va_cs
3,2016-12-24 15:08:00,2016-12-24 15:12:00,9.35,3.77,1.45,3.47,-18.62,-16.79,1.18,bisection
3,2016-12-07 05:11:00,2016-12-07 05:21:00,9.53,0.6,-0.55,20.22,13.59,51.2,1.87,shear
3,2016-12-07 05:11:00,2016-12-07 05:21:00,9.53,0.6,-0.55,20.22,13.59,51.2,2.4,rx_en
3,2016-12-07 05:11:00,2016-12-07 05:21:00,9.53,0.6,-0.55,20.22,13.59,51.2,2.34,va_cs
3,2016-12-07 05:11:00,2016-12-07 05:21:00,9.53,0.6,-0.55,20.22,13.59,51.2,5.82,bisection
3,2015-10-16 10:28:30,2015-10-16 10:38:30,9.22,6.08,-4.39,3.35,21.31,27.69,2.31,shear
3,2015-10-16 10:28:30,2015-10-16 10:38:30,9.22,6.08,-4.39,3.35,21.31,27.69,1.3,rx_en
3,2015-10-16 10:28:30,2015-10-16 10:38:30,9.22,6.08,-4.39,3.35,21.31,27.69,4.34,va_cs
3,2015-10-16 10:28:30,2015-10-16 10:38:30,9.22,6.08,-4.39,3.35,21.31,27.69,4.63,bisection
3,2015-10-16 13:02:02,2015-10-16 13:12:02,8.3,7.07,-4.79,-5.12,-2.38,-17.1,1.15,shear
3,2015-10-16 13:02:02,2015-10-16 13:12:02,8.3,7.07,-4.79,-5.12,-2.38,-17.1,4.2,rx_en
3,2015-10-16 13:02:02,2015-10-16 13:12:02,8.3,7.07,-4.79,-5.12,-2.38,-17.1,2.32,va_cs
3,2015-10-16 13:02:02,2015-10-16 13:12:02,8.3,7.07,-4.79,-5.12,-2.38,-17.1,5.25,bisection
3,2015-10-22 06:00:22,2015-10-22 06:10:22,9.63,3.48,-1.96,-1.58,-10.33,-13.76,2.64,shear
3,2015-10-22 06:00:22,2015-10-22 06:10:22,9.63,3.48,-1.96,-1.58,-10.33,-13.76,4.72,rx_en
3,2015-10-22 06:00:22,2015-10-22 06:10:22,9.63,3.48,-1.96,-1.58,-10.33,-13.76,1.89,va_cs
3,2015-10-22 06:00:22,2015-10-22 06:10:22,9.63,3.48,-1.96,-1.58,-10.33,-13.76,4.95,bisection
3,2015-11-01 15:03:06,2015-11-01 15:13:06,7.81,6.19,-3.47,5.45,20.01,23.8,6.51,shear
3,2015-11-01 15:03:06,2015-11-01 15:13:06,7.81,6.19,-3.47,5.45,20.01,23.8,2.97,rx_en
3,2015-11-01 15:03:06,2015-11-01 15:13:06,7.81,6.19,-3.47,5.45,20.01,23.8,4.17,va_cs
3,2015-11-01 15:03:06,2015-11-01 15:13:06,7.81,6.19,-3.47,5.45,20.01,23.8,4.17,bisection
3,2015-11-12 07:14:21,2015-11-12 07:24:21,11.49,2.3,-1.77,3.66,-0.13,10.42,1.56,shear
3,2015-11-12 07:14:21,2015-11-12 07:24:21,11.49,2.3,-1.77,3.66,-0.13,10.42,3.95,rx_en
3,2015-11-12 07:14:21,2015-11-12 07:24:21,11.49,2.3,-1.77,3.66,-0.13,10.42,6.4,va_cs
3,2015-11-12 07:14:21,2015-11-12 07:24:21,11.49,2.3,-1.77,3.66,-0.13,10.42,6.27,bisection
3,2015-12-06 23:33:31,2015-12-06 23:43:31,8.5,-3.91,-0.81,5.34,-1.46,11.24,15.28,shear
3,2015-12-06 23:33:31,2015-12-06 23:43:31,8.5,-3.91,-0.81,5.34,-1.46,11.24,15.36,rx_en
3,2015-12-06 23:33:31,2015-12-06 23:43:31,8.5,-3.91,-0.81,5.34,-1.46,11.24,nan,va_cs
3,2015-12-06 23:33:31,2015-12-06 23:43:31,8.5,-3.91,-0.81,5.34,-1.46,11.24,1.31,bisection
3,2015-12-08 11:15:44,2015-12-08 11:25:44,10.22,1.28,-1.36,11.4,9.18,28.05,4.81,shear
3,2015-12-08 11:15:44,2015-12-08 11:25:44,10.22,1.28,-1.36,11.4,9.18,28.05,0.76,rx_en
3,2015-12-08 11:15:44,2015-12-08 11:25:44,10.22,1.28,-1.36,11.4,9.18,28.05,nan,va_cs
3,2015-12-08 11:15:44,2015-12-08 11:25:44,10.22,1.28,-1.36,11.4,9.18,28.05,2.64,bisection
3,2015-12-09 01:01:11,2015-12-09 01:11:11,9.91,-3.67,-0.93,2.28,2.42,-7.79,10.67,shear
3,2015-12-09 01:01:11,2015-12-09 01:11:11,9.91,-3.67,-0.93,2.28,2.42,-7.79,1.39,rx_en
3,2015-12-09 01:01:11,2015-12-09 01:11:11,9.91,-3.67,-0.93,2.28,2.42,-7.79,9.74,va_cs
3,2015-12-09 01:01:11,2015-12-09 01:11:11,9.91,-3.67,-0.93,2.28,2.42,-7.79,3.88,bisection
3,2015-12-14 01:12:40,2015-12-14 01:22:40,10.12,-4.16,-1.19,10.06,-18.64,37.52,0.26,shear
3,2015-12-14 01:12:40,2015-12-14 01:22:40,10.12,-4.16,-1.19,10.06,-18.64,37.52,1.59,rx_en
3,2015-12-14 01:12:40,2015-12-14 01:22:40,10.12,-4.16,-1.19,10.06,-18.64,37.52,0.73,va_cs
3,2015-12-14 01:12:40,2015-12-14 01:22:40,10.12,-4.16,-1.19,10.06,-18.64,37.52,5.03,bisection
3,2016-01-07 09:31:15,2016-01-07 09:41:15,8.88,-1.97,-0.73,19.93,-13.02,64.22,0.62,shear
3,2016-01-07 09:31:15,2016-01-07 09:41:15,8.88,-1.97,-0.73,19.93,-13.02,64.22,0.93,rx_en
3,2016-01-07 09:31:15,2016-01-07 09:41:15,8.88,-1.97,-0.73,19.93,-13.02,64.22,4.38,va_cs
3,2016-01-07 09:31:15,2016-01-07 09:41:15,8.88,-1.97,-0.73,19.93,-13.02,64.22,4.14,bisection
3,2016-01-10 09:08:37,2016-01-10 09:18:37,8.8,-2.4,-0.77,13.35,-17.56,62.14,3.51,shear
3,2016-01-10 09:08:37,2016-01-10 09:18:37,8.8,-2.4,-0.77,13.35,-17.56,62.14,2.33,rx_en
3,2016-01-10 09:08:37,2016-01-10 09:18:37,8.8,-2.4,-0.77,13.35,-17.56,62.14,4.93,va_cs
3,2016-01-10 09:08:37,2016-01-10 09:18:37,8.8,-2.4,-0.77,13.35,-17.56,62.14,4.44,bisection
3,2016-10-22 12:53:41,2016-10-22 13:03:41,6.4,7.69,-4.7,-1.62,-6.19,-10.72,2.75,shear
3,2016-10-22 12:53:41,2016-10-22 13:03:41,6.4,7.69,-4.7,-1.62,-6.19,-10.72,4.88,rx_en
3,2016-10-22 12:53:41,2016-10-22 13:03:41,6.4,7.69,-4.7,-1.62,-6.19,-10.72,0.41,va_cs
3,2016-10-22 12:53:41,2016-10-22 13:03:41,6.4,7.69,-4.7,-1.62,-6.19,-10.72,4.51,bisection
3,2016-11-02 14:41:18,2016-11-02 14:51:18,7.23,8.8,-3.54,8.7,-15.32,7.31,2.39,shear
3,2016-11-02 14:41:18,2016-11-02 14:51:18,7.23,8.8,-3.54,8.7,-15.32,7.31,0.44,rx_en
3,2016-11-02 14:41:18,2016-11-02 14:51:18,7.23,8.8,-3.54,8.7,-15.32,7.31,9.42,va_cs
3,2016-11-02 14:41:18,2016-11-02 14:51:18,7.23,8.8,-3.54,8.7,-15.32,7.31,3.34,bisection
3,2016-11-06 08:35:58,2016-11-06 08:45:58,7.95,4.14,-2.83,15.5,32.8,39.11,3.03,shear
3,2016-11-06 08:35:58,2016-11-06 08:45:58,7.95,4.14,-2.83,15.5,32.8,39.11,3.91,rx_en
3,2016-11-06 08:35:58,2016-11-06 08:45:58,7.95,4.14,-2.83,15.5,32.8,39.11,5.64,va_cs
3,2016-11-06 08:35:58,2016-11-06 08:45:58,7.95,4.14,-2.83,15.5,32.8,39.11,5.52,bisection
3,2016-11-12 17:43:47,2016-11-12 17:53:47,6.62,9.15,-1.1,10.89,-21.85,-12.23,5.73,shear
3,2016-11-12 17:43:47,2016-11-12 17:53:47,6.62,9.15,-1.1,10.89,-21.85,-12.23,5.26,rx_en
3,2016-11-12 17:43:47,2016-11-12 17:53:47,6.62,9.15,-1.1,10.89,-21.85,-12.23,12.48,va_cs
3,2016-11-12 17:43:47,2016-11-12 17:53:47,6.62,9.15,-1.1,10.89,-21.85,-12.23,1.82,bisection
3,2016-11-13 09:05:41,2016-11-13 09:15:41,8.95,4.56,-2.62,9.98,21.74,17.22,0.75,shear
3,2016-11-13 09:05:41,2016-11-13 09:15:41,8.95,4.56,-2.62,9.98,21.74,17.22,10.92,rx_en
3,2016-11-13 09:05:41,2016-11-13 09:15:41,8.95,4.56,-2.62,9.98,21.74,17.22,12.6,va_cs
3,2016-11-13 09:05:41,2016-11-13 09:15:41,8.95,4.56,-2.62,9.98,21.74,17.22,5.38,bisection
3,2016-11-18 12:03:11,2016-11-18 12:13:11,9.59,6.45,-2.5,8.3,1.65,31.2,5.18,shear
3,2016-11-18 12:03:11,2016-11-18 12:13:11,9.59,6.45,-2.5,8.3,1.65,31.2,6.23,rx_en
3,2016-11-18 12:03:11,2016-11-18 12:13:11,9.59,6.45,-2.5,8.3,1.65,31.2,11.75,va_cs
3,2016-11-18 12:03:11,2016-11-18 12:13:11,9.59,6.45,-2.5,8.3,1.65,31.2,1.38,bisection
3,2016-11-23 07:45:30,2016-11-23 07:55:30,9.61,3.24,-1.6,12.65,21.34,30.0,13.25,shear
3,2016-11-23 07:45:30,2016-11-23 07:55:30,9.61,3.24,-1.6,12.65,21.34,30.0,1.61,rx_en
3,2016-11-23 07:45:30,2016-11-23 07:55:30,9.61,3.24,-1.6,12.65,21.34,30.0,5.55,va_cs
3,2016-11-23 07:45:30,2016-11-23 07:55:30,9.61,3.24,-1.6,12.65,21.34,30.0,5.39,bisection
3,2016-11-28 15:42:00,2016-11-28 15:52:00,8.88,7.17,-0.44,-7.97,20.32,-8.76,6.28,shear
3,2016-11-28 15:42:00,2016-11-28 15:52:00,8.88,7.17,-0.44,-7.97,20.32,-8.76,3.68,rx_en
3,2016-11-28 15:42:00,2016-11-28 15:52:00,8.88,7.17,-0.44,-7.97,20.32,-8.76,9.42,va_cs
3,2016-11-28 15:42:00,2016-11-28 15:52:00,8.88,7.17,-0.44,-7.97,20.32,-8.76,2.31,bisection
3,2016-12-11 04:36:50,2016-12-11 04:46:50,9.48,-0.06,-0.45,3.57,14.75,9.75,5.1,shear
3,2016-12-11 04:36:50,2016-12-11 04:46:50,9.48,-0.06,-0.45,3.57,14.75,9.75,6.15,rx_en
3,2016-12-11 04:36:50,2016-12-11 04:46:50,9.48,-0.06,-0.45,3.57,14.75,9.75,11.89,va_cs
3,2016-12-11 04:36:50,2016-12-11 04:46:50,9.48,-0.06,-0.45,3.57,14.75,9.75,5.69,bisection
3,2016-12-19 14:10:02,2016-12-19 14:20:02,10.2,4.16,0.93,-0.03,6.38,45.66,4.22,shear
3,2016-12-19 14:10:02,2016-12-19 14:20:02,10.2,4.16,0.93,-0.03,6.38,45.66,2.87,rx_en
3,2016-12-19 14:10:02,2016-12-19 14:20:02,10.2,4.16,0.93,-0.03,6.38,45.66,2.59,va_cs
3,2016-12-19 14:10:02,2016-12-19 14:20:02,10.2,4.16,0.93,-0.03,6.38,45.66,1.93,bisection
3,2017-01-02 02:53:13,2017-01-02 03:03:13,9.63,-3.0,-0.65,-0.03,6.38,45.66,1.6,shear
3,2017-01-02 02:53:13,2017-01-02 03:03:13,9.63,-3.0,-0.65,-0.03,6.38,45.66,4.63,rx_en
3,2017-01-02 02:53:13,2017-01-02 03:03:13,9.63,-3.0,-0.65,-0.03,6.38,45.66,4.39,va_cs
3,2017-01-02 02:53:13,2017-01-02 03:03:13,9.63,-3.0,-0.65,-0.03,6.38,45.66,4.97,bisection
3,2017-01-11 04:17:43,2017-01-11 04:27:43,10.8,-3.71,-0.15,-2.29,-5.14,-3.21,16.42,shear
3,2017-01-11 04:17:43,2017-01-11 04:27:43,10.8,-3.71,-0.15,-2.29,-5.14,-3.21,16.19,rx_en
3,2017-01-11 04:17:43,2017-01-11 04:27:43,10.8,-3.71,-0.15,-2.29,-5.14,-3.21,19.34,va_cs
3,2017-01-11 04:17:43,2017-01-11 04:27:43,10.8,-3.71,-0.15,-2.29,-5.14,-3.21,4.67,bisection
