mms_spc_num,date_from,date_to,spc_pos_x,spc_pos_y,spc_pos_z,b_msh_x,b_msh_y,b_msh_z,r_rc,method_used,b_imf_x,b_imf_y,b_imf_z,dipole,imf_clock_angle,p_dyn
3,2017-01-24 00:51:00,2017-01-24 01:01:00,8.36,-5.86,-2.2,12.390000343322754,-30.079999923706055,31.690000534057617,5.298,shear,-3.069999933242798,-1.2799999713897705,-1.7400000095367432,-23.508,216.339,1.07,
3,2017-01-24 00:51:00,2017-01-24 01:01:00,8.36,-5.86,-2.2,12.390000343322754,-30.079999923706055,31.690000534057617,4.126,rx_en,-3.069999933242798,-1.2799999713897705,-1.7400000095367432,-23.508,216.339,1.07,
3,2017-01-24 00:51:00,2017-01-24 01:01:00,8.36,-5.86,-2.2,12.390000343322754,-30.079999923706055,31.690000534057617,5.215,va_cs,-3.069999933242798,-1.2799999713897705,-1.7400000095367432,-23.508,216.339,1.07,
3,2017-01-24 00:51:00,2017-01-24 01:01:00,8.36,-5.86,-2.2,12.390000343322754,-30.079999923706055,31.690000534057617,5.159,bisection,-3.069999933242798,-1.2799999713897705,-1.7400000095367432,-23.508,216.339,1.07,
3,2017-01-24 00:52:00,2017-01-24 01:02:00,8.37,-5.86,-2.19,12.390000343322754,-29.579999923706055,32.099998474121094,5.296,shear,-2.950000047683716,-1.3600000143051147,-1.7899999618530273,-23.546,217.227,1.1,
3,2017-01-24 00:52:00,2017-01-24 01:02:00,8.37,-5.86,-2.19,12.390000343322754,-29.579999923706055,32.099998474121094,4.191,rx_en,-2.950000047683716,-1.3600000143051147,-1.7899999618530273,-23.546,217.227,1.1,
3,2017-01-24 00:52:00,2017-01-24 01:02:00,8.37,-5.86,-2.19,12.390000343322754,-29.579999923706055,32.099998474121094,5.205,va_cs,-2.950000047683716,-1.3600000143051147,-1.7899999618530273,-23.546,217.227,1.1,
3,2017-01-24 00:52:00,2017-01-24 01:02:00,8.37,-5.86,-2.19,12.390000343322754,-29.579999923706055,32.099998474121094,5.149,bisection,-2.950000047683716,-1.3600000143051147,-1.7899999618530273,-23.546,217.227,1.1,
3,2017-01-24 00:53:00,2017-01-24 01:03:00,8.39,-5.86,-2.18,12.390000343322754,-29.469999313354492,32.869998931884766,5.293,shear,-2.950000047683716,-1.3600000143051147,-1.7899999618530273,-23.583,217.227,1.1,
3,2017-01-24 00:53:00,2017-01-24 01:03:00,8.39,-5.86,-2.18,12.390000343322754,-29.469999313354492,32.869998931884766,4.181,rx_en,-2.950000047683716,-1.3600000143051147,-1.7899999618530273,-23.583,217.227,1.1,
3,2017-01-24 00:53:00,2017-01-24 01:03:00,8.39,-5.86,-2.18,12.390000343322754,-29.469999313354492,32.869998931884766,5.195,va_cs,-2.950000047683716,-1.3600000143051147,-1.7899999618530273,-23.583,217.227,1.1,
3,2017-01-24 00:53:00,2017-01-24 01:03:00,8.39,-5.86,-2.18,12.390000343322754,-29.469999313354492,32.869998931884766,5.14,bisection,-2.950000047683716,-1.3600000143051147,-1.7899999618530273,-23.583,217.227,1.1,
3,2017-01-24 00:54:00,2017-01-24 01:04:00,8.4,-5.86,-2.18,11.239999771118164,-29.469999313354492,32.9900016784668,5.293,shear,-2.9000000953674316,-1.559999942779541,-1.7999999523162842,-23.62,220.914,1.1,
3,2017-01-24 00:54:00,2017-01-24 01:04:00,8.4,-5.86,-2.18,11.239999771118164,-29.469999313354492,32.9900016784668,4.325,rx_en,-2.9000000953674316,-1.559999942779541,-1.7999999523162842,-23.62,220.914,1.1,
3,2017-01-24 00:54:00,2017-01-24 01:04:00,8.4,-5.86,-2.18,11.239999771118164,-29.469999313354492,32.9900016784668,5.524,va_cs,-2.9000000953674316,-1.559999942779541,-1.7999999523162842,-23.62,220.914,1.1,
3,2017-01-24 00:54:00,2017-01-24 01:04:00,8.4,-5.86,-2.18,11.239999771118164,-29.469999313354492,32.9900016784668,5.14,bisection,-2.9000000953674316,-1.559999942779541,-1.7999999523162842,-23.62,220.914,1.1,
3,2017-01-24 00:55:00,2017-01-24 01:05:00,8.42,-5.86,-2.17,9.0600004196167,-29.469999313354492,32.9900016784668,5.29,shear,-2.1700000762939453,-1.7100000381469727,-1.7999999523162842,-23.658,223.531,1.1,
3,2017-01-24 00:55:00,2017-01-24 01:05:00,8.42,-5.86,-2.17,9.0600004196167,-29.469999313354492,32.9900016784668,5.17,rx_en,-2.1700000762939453,-1.7100000381469727,-1.7999999523162842,-23.658,223.531,1.1,
3,2017-01-24 00:55:00,2017-01-24 01:05:00,8.42,-5.86,-2.17,9.0600004196167,-29.469999313354492,32.9900016784668,5.515,va_cs,-2.1700000762939453,-1.7100000381469727,-1.7999999523162842,-23.658,223.531,1.1,
3,2017-01-24 00:55:00,2017-01-24 01:05:00,8.42,-5.86,-2.17,9.0600004196167,-29.469999313354492,32.9900016784668,5.131,bisection,-2.1700000762939453,-1.7100000381469727,-1.7999999523162842,-23.658,223.531,1.1,
3,2017-01-24 00:56:00,2017-01-24 01:06:00,8.43,-5.87,-2.17,8.930000305175781,-29.309999465942383,33.2400016784668,5.3,shear,-1.649999976158142,-1.940000057220459,-1.7400000095367432,-23.695,228.111,1.11,
3,2017-01-24 00:56:00,2017-01-24 01:06:00,8.43,-5.87,-2.17,8.930000305175781,-29.309999465942383,33.2400016784668,5.171,rx_en,-1.649999976158142,-1.940000057220459,-1.7400000095367432,-23.695,228.111,1.11,
3,2017-01-24 00:56:00,2017-01-24 01:06:00,8.43,-5.87,-2.17,8.930000305175781,-29.309999465942383,33.2400016784668,5.184,va_cs,-1.649999976158142,-1.940000057220459,-1.7400000095367432,-23.695,228.111,1.11,
3,2017-01-24 00:56:00,2017-01-24 01:06:00,8.43,-5.87,-2.17,8.930000305175781,-29.309999465942383,33.2400016784668,5.127,bisection,-1.649999976158142,-1.940000057220459,-1.7400000095367432,-23.695,228.111,1.11,
3,2017-01-24 00:57:00,2017-01-24 01:07:00,8.44,-5.87,-2.16,8.930000305175781,-29.479999542236328,33.2400016784668,5.298,shear,-1.649999976158142,-2.1500000953674316,-1.6699999570846558,-23.732,232.162,1.12,
3,2017-01-24 00:57:00,2017-01-24 01:07:00,8.44,-5.87,-2.16,8.930000305175781,-29.479999542236328,33.2400016784668,5.578,rx_en,-1.649999976158142,-2.1500000953674316,-1.6699999570846558,-23.732,232.162,1.12,
3,2017-01-24 00:57:00,2017-01-24 01:07:00,8.44,-5.87,-2.16,8.930000305175781,-29.479999542236328,33.2400016784668,5.341,va_cs,-1.649999976158142,-2.1500000953674316,-1.6699999570846558,-23.732,232.162,1.12,
3,2017-01-24 00:57:00,2017-01-24 01:07:00,8.44,-5.87,-2.16,8.930000305175781,-29.479999542236328,33.2400016784668,5.118,bisection,-1.649999976158142,-2.1500000953674316,-1.6699999570846558,-23.732,232.162,1.12,
3,2017-01-24 00:58:00,2017-01-24 01:08:00,8.46,-5.87,-2.15,8.930000305175781,-29.520000457763672,33.09000015258789,5.295,shear,-1.649999976158142,-2.1500000953674316,-1.8300000429153442,-23.769,229.597,1.11,
3,2017-01-24 00:58:00,2017-01-24 01:08:00,8.46,-5.87,-2.15,8.930000305175781,-29.520000457763672,33.09000015258789,5.27,rx_en,-1.649999976158142,-2.1500000953674316,-1.8300000429153442,-23.769,229.597,1.11,
3,2017-01-24 00:58:00,2017-01-24 01:08:00,8.46,-5.87,-2.15,8.930000305175781,-29.520000457763672,33.09000015258789,5.332,va_cs,-1.649999976158142,-2.1500000953674316,-1.8300000429153442,-23.769,229.597,1.11,
3,2017-01-24 00:58:00,2017-01-24 01:08:00,8.46,-5.87,-2.15,8.930000305175781,-29.520000457763672,33.09000015258789,5.108,bisection,-1.649999976158142,-2.1500000953674316,-1.8300000429153442,-23.769,229.597,1.11,
3,2017-01-24 00:59:00,2017-01-24 01:09:00,8.47,-5.87,-2.15,8.789999961853027,-29.559999465942383,33.119998931884766,5.295,shear,-1.649999976158142,-2.1500000953674316,-1.8300000429153442,-23.806,229.597,1.08,
3,2017-01-24 00:59:00,2017-01-24 01:09:00,8.47,-5.87,-2.15,8.789999961853027,-29.559999465942383,33.119998931884766,5.27,rx_en,-1.649999976158142,-2.1500000953674316,-1.8300000429153442,-23.806,229.597,1.08,
3,2017-01-24 00:59:00,2017-01-24 01:09:00,8.47,-5.87,-2.15,8.789999961853027,-29.559999465942383,33.119998931884766,5.666,va_cs,-1.649999976158142,-2.1500000953674316,-1.8300000429153442,-23.806,229.597,1.08,
3,2017-01-24 00:59:00,2017-01-24 01:09:00,8.47,-5.87,-2.15,8.789999961853027,-29.559999465942383,33.119998931884766,5.108,bisection,-1.649999976158142,-2.1500000953674316,-1.8300000429153442,-23.806,229.597,1.08,
3,2017-01-24 01:00:00,2017-01-24 01:10:00,8.49,-5.87,-2.14,8.789999961853027,-29.549999237060547,32.9900016784668,5.347,shear,-1.649999976158142,-2.1500000953674316,-1.8799999952316284,-23.843,228.833,1.06,
3,2017-01-24 01:00:00,2017-01-24 01:10:00,8.49,-5.87,-2.14,8.789999961853027,-29.549999237060547,32.9900016784668,5.261,rx_en,-1.649999976158142,-2.1500000953674316,-1.8799999952316284,-23.843,228.833,1.06,
3,2017-01-24 01:00:00,2017-01-24 01:10:00,8.49,-5.87,-2.14,8.789999961853027,-29.549999237060547,32.9900016784668,5.656,va_cs,-1.649999976158142,-2.1500000953674316,-1.8799999952316284,-23.843,228.833,1.06,
3,2017-01-24 01:00:00,2017-01-24 01:10:00,8.49,-5.87,-2.14,8.789999961853027,-29.549999237060547,32.9900016784668,5.099,bisection,-1.649999976158142,-2.1500000953674316,-1.8799999952316284,-23.843,228.833,1.06,
3,2017-01-24 01:01:00,2017-01-24 01:11:00,8.5,-5.87,-2.13,8.84000015258789,-29.420000076293945,33.18000030517578,5.344,shear,-1.649999976158142,-2.1500000953674316,-1.8799999952316284,-23.879,228.833,1.04,
3,2017-01-24 01:01:00,2017-01-24 01:11:00,8.5,-5.87,-2.13,8.84000015258789,-29.420000076293945,33.18000030517578,5.251,rx_en,-1.649999976158142,-2.1500000953674316,-1.8799999952316284,-23.879,228.833,1.04,
3,2017-01-24 01:01:00,2017-01-24 01:11:00,8.5,-5.87,-2.13,8.84000015258789,-29.420000076293945,33.18000030517578,5.647,va_cs,-1.649999976158142,-2.1500000953674316,-1.8799999952316284,-23.879,228.833,1.04,
3,2017-01-24 01:01:00,2017-01-24 01:11:00,8.5,-5.87,-2.13,8.84000015258789,-29.420000076293945,33.18000030517578,5.09,bisection,-1.649999976158142,-2.1500000953674316,-1.8799999952316284,-23.879,228.833,1.04,
3,2017-01-24 01:02:00,2017-01-24 01:12:00,8.51,-5.87,-2.13,9.029999732971191,-29.420000076293945,33.08000183105469,5.29,shear,-1.940000057220459,-1.940000057220459,-1.8799999952316284,-23.916,225.9,1.03,
3,2017-01-24 01:02:00,2017-01-24 01:12:00,8.51,-5.87,-2.13,9.029999732971191,-29.420000076293945,33.08000183105469,5.13,rx_en,-1.940000057220459,-1.940000057220459,-1.8799999952316284,-23.916,225.9,1.03,
3,2017-01-24 01:02:00,2017-01-24 01:12:00,8.51,-5.87,-2.13,9.029999732971191,-29.420000076293945,33.08000183105469,5.543,va_cs,-1.940000057220459,-1.940000057220459,-1.8799999952316284,-23.916,225.9,1.03,
3,2017-01-24 01:02:00,2017-01-24 01:12:00,8.51,-5.87,-2.13,9.029999732971191,-29.420000076293945,33.08000183105469,5.09,bisection,-1.940000057220459,-1.940000057220459,-1.8799999952316284,-23.916,225.9,1.03,
3,2017-01-24 01:03:00,2017-01-24 01:13:00,8.53,-5.87,-2.12,9.050000190734863,-29.190000534057617,32.790000915527344,5.341,shear,-2.2300000190734863,-1.5800000429153442,-1.899999976158142,-23.953,219.746,1.02,
3,2017-01-24 01:03:00,2017-01-24 01:13:00,8.53,-5.87,-2.12,9.050000190734863,-29.190000534057617,32.790000915527344,5.12,rx_en,-2.2300000190734863,-1.5800000429153442,-1.899999976158142,-23.953,219.746,1.02,
3,2017-01-24 01:03:00,2017-01-24 01:13:00,8.53,-5.87,-2.12,9.050000190734863,-29.190000534057617,32.790000915527344,5.465,va_cs,-2.2300000190734863,-1.5800000429153442,-1.899999976158142,-23.953,219.746,1.02,
3,2017-01-24 01:03:00,2017-01-24 01:13:00,8.53,-5.87,-2.12,9.050000190734863,-29.190000534057617,32.790000915527344,5.081,bisection,-2.2300000190734863,-1.5800000429153442,-1.899999976158142,-23.953,219.746,1.02,
3,2017-01-24 01:04:00,2017-01-24 01:14:00,8.54,-5.87,-2.11,8.979999542236328,-29.030000686645508,32.7599983215332,5.338,shear,-2.3299999237060547,-1.440000057220459,-2.0299999713897705,-23.989,215.35,1.02,
3,2017-01-24 01:04:00,2017-01-24 01:14:00,8.54,-5.87,-2.11,8.979999542236328,-29.030000686645508,32.7599983215332,4.603,rx_en,-2.3299999237060547,-1.440000057220459,-2.0299999713897705,-23.989,215.35,1.02,
3,2017-01-24 01:04:00,2017-01-24 01:14:00,8.54,-5.87,-2.11,8.979999542236328,-29.030000686645508,32.7599983215332,5.456,va_cs,-2.3299999237060547,-1.440000057220459,-2.0299999713897705,-23.989,215.35,1.02,
